Method,Percentile,Threshold,P (all),R (all),F1 (all),P (no SJ),R (no SJ),F1 (no SJ),Detected,FP
Ratio P70,70,2.7092,0.7866666666666666,0.7866666666666666,0.7866666666666666,0.7480314960629921,0.7916666666666666,0.7692307692307694,150,32
Ratio P75,75,3.3422,0.832,0.6933333333333334,0.7563636363636365,0.8,0.7,0.7466666666666666,125,21
Ratio P80,80,4.4994,0.9,0.6,0.7200000000000001,0.8809523809523809,0.6166666666666667,0.7254901960784315,100,10
Ratio P85,85,8.0204,0.9733333333333334,0.4866666666666667,0.648888888888889,0.96875,0.5166666666666667,0.673913043478261,75,2
Ratio P90,90,12.7129,1.0,0.3333333333333333,0.5,1.0,0.35833333333333334,0.5276073619631901,50,0
Ratio P95,95,27.0896,1.0,0.16666666666666666,0.2857142857142857,1.0,0.20833333333333334,0.3448275862068966,25,0
Ratio P97,97,45.7625,1.0,0.1,0.18181818181818182,1.0,0.125,0.2222222222222222,15,0
Ratio P99,99,75.818,1.0,0.03333333333333333,0.06451612903225806,1.0,0.041666666666666664,0.07999999999999999,5,0
Holdout P90 (x2),90,0.0,0.7073170731707317,0.7733333333333333,0.7388535031847134,0.7018633540372671,0.9416666666666667,0.8042704626334519,164,48
Holdout P95 (x2),95,0.0,0.6758241758241759,0.82,0.7409638554216867,0.6529411764705882,0.925,0.7655172413793103,182,59
Holdout P97 (x2),97,0.0,0.625,0.7666666666666667,0.6886227544910181,0.5941176470588235,0.8416666666666667,0.696551724137931,184,69
Holdout P99 (x2),99,0.0,0.5654205607476636,0.8066666666666666,0.6648351648351649,0.5079365079365079,0.8,0.6213592233009708,214,93
Holdout P95 (x1.5),95,1.5,0.5217391304347826,0.88,0.6550868486352357,0.4872881355932203,0.9583333333333334,0.6460674157303371,253,121
Holdout P95 (x2.0),95,2.0,0.6758241758241759,0.82,0.7409638554216867,0.6529411764705882,0.925,0.7655172413793103,182,59
Holdout P95 (x3.0),95,3.0,0.8842975206611571,0.7133333333333334,0.7896678966789669,0.8803418803418803,0.8583333333333333,0.8691983122362869,121,14
Holdout P95 (x5.0),95,5.0,0.975,0.52,0.6782608695652174,0.9746835443037974,0.6416666666666667,0.7738693467336684,80,2
