Method,P (all),R (all),F1 (all),P (no SJ),R (no SJ),F1 (no SJ),Detected,FP
IQR (k=1.5),0.9487179487179487,0.49333333333333335,0.6491228070175438,0.9393939393939394,0.5166666666666667,0.6666666666666667,78,4
IQR (k=2.0),0.971830985915493,0.46,0.6244343891402716,0.9666666666666667,0.48333333333333334,0.6444444444444445,71,2
IQR (k=3.0),1.0,0.37333333333333335,0.5436893203883496,1.0,0.39166666666666666,0.562874251497006,56,0
Elbow Point,1.0,0.22,0.36065573770491804,1.0,0.25833333333333336,0.41059602649006627,33,0
Ratio P85,0.9733333333333334,0.4866666666666667,0.648888888888889,0.96875,0.5166666666666667,0.673913043478261,75,2
Ratio P90,1.0,0.3333333333333333,0.5,1.0,0.35833333333333334,0.5276073619631901,50,0
Holdout P95 (x2.0),0.6758241758241759,0.82,0.7409638554216867,0.6529411764705882,0.925,0.7655172413793103,182,59
Holdout P95 (x3.0),0.8842975206611571,0.7133333333333334,0.7896678966789669,0.8803418803418803,0.8583333333333333,0.8691983122362869,121,14
Dual-Path (a=0.05),1.0,0.6266666666666667,0.7704918032786886,1.0,0.7833333333333333,0.8785046728971964,94,0
Dual-Path (a=0.1),1.0,0.6666666666666666,0.8,1.0,0.8333333333333334,0.9090909090909091,100,0
